street,streetLabel,namedAfter,namedAfterLabel,namedAfterDescription,genderLabel,birthYear,deathYear,occupationLabel,nationalityLabel
http://www.wikidata.org/entity/Q28032558,calle de Larra,http://www.wikidata.org/entity/Q298773,Mariano José de Larra,"escritor, periodista y político español (1809-1837)",masculino,1809,1837,crítico literario,España
http://www.wikidata.org/entity/Q29007055,calle de Lepanto,http://www.wikidata.org/entity/Q165425,batalla de Lepanto,combate naval del 7 de octubre de 1571,,,,,
http://www.wikidata.org/entity/Q118701213,calle de Lombía,http://www.wikidata.org/entity/Q5950703,Juan Lombía,actor y dramaturgo español,masculino,1806,1851,actor,España
http://www.wikidata.org/entity/Q118701213,calle de Lombía,http://www.wikidata.org/entity/Q5950703,Juan Lombía,actor y dramaturgo español,masculino,1806,1851,dramaturgo,España
http://www.wikidata.org/entity/Q118701213,calle de Lombía,http://www.wikidata.org/entity/Q5950703,Juan Lombía,actor y dramaturgo español,masculino,1806,1851,empresario de teatro,España
http://www.wikidata.org/entity/Q118612038,calle de Londres,http://www.wikidata.org/entity/Q84,Londres,capital de Inglaterra y del Reino Unido,,,,,
http://www.wikidata.org/entity/Q28039019,calle de Lope de Haro,http://www.wikidata.org/entity/Q3111019,Lope Díaz III de Haro,VIII Señor de Vizcaya,masculino,1201,1288,militar,Corona de Castilla
http://www.wikidata.org/entity/Q28039019,calle de Lope de Haro,http://www.wikidata.org/entity/Q3111019,Lope Díaz III de Haro,VIII Señor de Vizcaya,masculino,1201,1288,aristócrata,Corona de Castilla
http://www.wikidata.org/entity/Q28071028,calle de Lope de Rueda,http://www.wikidata.org/entity/Q52206,Lope de Rueda,dramaturgo y actor español,masculino,1505,1566,actor,España
http://www.wikidata.org/entity/Q28071028,calle de Lope de Rueda,http://www.wikidata.org/entity/Q52206,Lope de Rueda,dramaturgo y actor español,masculino,1505,1566,escritor,España
http://www.wikidata.org/entity/Q28071028,calle de Lope de Rueda,http://www.wikidata.org/entity/Q52206,Lope de Rueda,dramaturgo y actor español,masculino,1505,1566,poeta,España
http://www.wikidata.org/entity/Q28071028,calle de Lope de Rueda,http://www.wikidata.org/entity/Q52206,Lope de Rueda,dramaturgo y actor español,masculino,1505,1566,dramaturgo,España
http://www.wikidata.org/entity/Q19800989,calle de Lope de Vega,http://www.wikidata.org/entity/Q165257,Lope de Vega,"sacerdote, poeta y dramaturgo español del Siglo de Oro",masculino,1562,1635,escritor,España
